Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
POST MATRIC SCHOLARSHIP SCHEME FOR ST STUDENTS-SIKKIM,The applicant must be a domicile of Sikkim and belong to ST community The applicant must be studying at the post-matric level from a recognized institution (Class 11 and above) The annual family income of the applicant should be below INR 2 lakh,10+2/Intermediate UG,https://scholarships.sikkim.gov.in/,,ST,Scholarship,State,Sikkim,31st Jan 2023
PM YASASVI PRE-MATRIC SCHOLARSHIPS FOR OBC EBC DNT STUDENTS-SIKKIM,The applicant must be a resident of Sikkim and belong to OBC EBC and DNT community The applicant must be studying at pre-matric level The annual family income of the applicant should be below INR 2.5 lakh,Junior 10/High_School,https://scholarships.sikkim.gov.in/,,OBC EBC DNT,Scholarship,State,Sikkim,31st Jan 2023
PM YASASVI POST MATRIC SCHOLARSHIP FOR OBC EBC AND DNT STUDENTS-SIKKIM,The applicant must be a resident of Sikkim and belong to OBC EBC and DNT community The applicant must be studying at post-matric level The annual family income of applicant should be below INR 2.5 lakhs,10+2/Intermediate,https://scholarships.sikkim.gov.in/,,OBC EBC DNT,Scholarship,State,Sikkim,31st Jan 2023
PRE-MATRIC SCHOLARSHIPS FOR ST STUDENTS CLASS IX AND CLASS X-SIKKIM,The applicant must be a resident of Sikkim and belong to ST community The applicants must be studying be studying in Class 9 and 10 in a government school or in a school recognized by government or a Central/ State Board of Secondary Education (CBSE/ SBSE) The annual family income of applicant should be below INR 2 lakhs,Junior 10/High_School,https://scholarships.sikkim.gov.in/,,ST,Scholarship,State,Sikkim,31st Jan 2023
PRE-MATRIC SCHOLARSHIP FOR SC STUDENTS STUDYING IN CLASS IX AND X-SIKKIM,The students should be studying in class IX and X on a full time basis.Students should belong to Scheduled Caste.Their Parent/Guardian's income should not exceed Rs. 2.50 lakh per annum.,Junior 10/High_School,https://scholarships.sikkim.gov.in/,,SC,Scholarship,State,Sikkim,31st Jan 2023
PRE-MATRIC SCHOLARSHIPS FOR CHILDREN OF PARENTS OR GUARDIANS ENGAGED IN UNCLEAN OCCUPATION (CLASS 1-10)-SIKKIM,The students should be studying in class IX and X on a full time basis.Students should belong to Scheduled Caste.Their Parent/Guardian's income should not exceed Rs. 2.50 lakh per annum.,Junior 10/High_School,https://scholarships.sikkim.gov.in/,,Open for all,Scholarship,State,Sikkim,31st Jan 2023
CENTRALLY SPONSORED POST MATRIC SCHOLARSHIP FOR SC STUDENTS – SIKKIM,The applicant must be a domicile of Sikkim and belong to SC category The applicant must be studying at post-matriculation or post-secondary level i.e. Class 11 to Ph.D. level The applicant have passed matriculation or higher secondary or any higher examination from a recognised University or Board of Secondary Education The annual family income of applicant should be below INR 2.5 lakh,10+2/Intermediate UG PG Ph.D/Doctorate,https://scholarships.sikkim.gov.in/,,SC,Scholarship,State,Sikkim,31st Jan 2023
CCB SCHOLARSHIP SCHEME SIKKIM,The student should have secured a minimum of 40% to 50% marks in the last qualifying examination The applicant should be a student at College/ University level (pursuing diploma degree or postgraduate level courses),UG PG,https://combinedcounsellingboard.com/sikkim.php,,Open for all,Scholarship,State,Sikkim,June to July
FOUNDER’S SCHOLARSHIP (SRM UNIVERSITY – SIKKIM),The student should be the school topper or the second topper,Junior 10/High_School,https://srmus.ac.in/scholarship,,Open for all,Scholarship,State,Sikkim,
SIKKIM NATIONALS SCHOLARSHIP (SRM UNIVERSITY- SIKKIM),Students nominated by HRDD Sikkim can apply. Students bearing Certificate of Identification and admitting directly to the University,Primary Junior 10/High_School,https://srmus.ac.in/scholarship,,Open for all,Scholarship,State,Sikkim,
Scholarship to Son and Daughter of Differently Abled Persons Tamil Nadu,The wards of any differently-abled person holding the Identity card issued by the Welfare Board of Differently Abled can apply for this scholarship.The scholarship is applicable for studies from Class 11 to Postgraduate level (including ITI/Polytechnic diploma courses).,10+2/Intermediate UG PG,https://tndce.tn.gov.in/Home/scholarship,,Specially-abled student,Scholarship,State,Tamilnadu,
Scholarship for Differently Abled Students from Class 9th Onwards Tamil Nadu,The scholarship is open to differently-abled students studying in class 9th to postgraduate level (including Vocational Professional Medical and Engineering courses)The applicant should have scored at least 40% marks in the previous qualifying examination.,Junior 10/High_School UG PG Ph.D/Doctorate,https://tndce.tn.gov.in/Home/scholarship,,Specially-abled student,Scholarship,State,Tamilnadu,
Scholarship for Differently Abled Students towards Purchase of Books & Note Books Tamil Nadu,The scholarship is open to differently-abled students who are studying in Class 1 to 8.,Primary Junior 10/High_School,https://tndce.tn.gov.in/Home/scholarship,,Specially-abled student,Scholarship,State,Tamilnadu,
R. I. M. C. Dehradun Scholarship Tamil Nadu,The students studying in Rashtriya Indian Military College Dehradun are eligible for this scholarship.,Others,https://www.tndce.tn.gov.in/,,Open for all,Scholarship,State,Tamilnadu,
Deceased Government Servants Scholarship Tamil Nadu,The scholarship is applicable for the wards of deceased government servants who died in harness.,Others,https://www.tndce.tn.gov.in/,,Open for all,Scholarship,State,Tamilnadu,
PhD Scholarship Tamil Nadu,The students pursuing the first year second year or third year of full-time PhD research from a government or government-aided college of arts and science can apply. (Note: The students having M.Phil. qualification must be studying in the first or second year of PhD course) The applicants must have scored 60% marks in a postgraduate degree. The students who are pursuing a part-time course or are in receipt of any other scholarship are not eligible to apply.,Ph.D/Doctorate Researcher,https://www.tndce.tn.gov.in/,,General,Scholarship,State,Tamilnadu,
EVR Nagammai Scholarship Tamil Nadu,The scholarship is applicable only for girl students who are pursuing postgraduate degree courses in Arts and Science from a recognised college in Tamil Nadu.,PG,https://www.tndce.tn.gov.in/,,General Women,Scholarship,State,Tamilnadu,
Free Education Schemes for BC MBC & DNC students Tamil Nadu,The students must belong to BC/MBC/DNC category. The candidates must be pursuing a 3-year degree or polytechnic diploma course or professional degree course. The annual income of the family should not be more than INR 50000.,UG Others,https://bcmbcmw.tn.gov.in/,,BC EBC DNC,Scholarship,State,Tamilnadu,
Incentive Scheme for Rural MBC/DNC Girl Students Tamil Nadu,The scheme is applicable for rural girl students belonging to MBC/DNC category who are studying in Class 3 to 6. The annual income of the family should not be more than INR 25000.,Primary Junior,https://bcmbcmw.tn.gov.in/,,MBC DNC,Scholarship,State,Tamilnadu,
Thanthai Periyar Memorial Award Tamil Nadu,The top two boys and two girls of each district in Tamil Nadu. The scheme is open only for BC/MBC/DNC students. The candidates must have scored the highest marks in Class 10 and are pursuing a Polytechnic diploma.,10/High_School Others,https://bcmbcmw.tn.gov.in/,,BC MBC DNC,Scholarship,State,Tamilnadu,
Perarignar Anna Memorial Award Tamil Nadu,The scheme is open only for BC/MBC/DNC students.The top two boys and two girls of each district in Tamil Nadu who have scored the highest marks in Class 10+2 and are pursuing a Professional degree course (medical engineering law etc.) can apply for this scholarship.,Engineering Medical UG,https://bcmbcmw.tn.gov.in/,,BC DNC EBC,Scholarship,State,Tamilnadu,
Vidyadhan Scholarship Program,Besides Tamil Nadu the scholarship is also open to the residents of Andhra Pradesh Gujarat Karnataka Maharashtra Kerala and Telangana. The applicant must have passed out Class 10/SSLC from the above-mentioned states. The annual income of the family should not exceed INR 200000.,10+2/Intermediate,https://www.vidyadhan.org/apply,,Open for all,Scholarship,State,Tamilnadu,
National Talent Search Exam NTSE,The students of Class 10 can apply for this scholarship.,10/High_School,https://www.dge.tn.gov.in/ntse.html,,Open for all,Scholarship,State,Tamilnadu,
Telangana Pre-Matric Scholarships For SC/ST/BC/Disabled Welfare 2023-24,students who belong to SC/ST/BC/EBC/Minority/Disabled categories. They must be studying in Classes 9 and 10. The annual income of the family should be less than INR 2000000 (for SC/ST students and BC/Minority welfare students of the urban area) INR 150000 (for BC/Minority welfare students of the rural area) and INR 100000 (for EBC/Disabled welfare students). The students also need to have an attendance of 75% or above at the end of each quarter.,Junior 10/High_School,https://telanganaepass.cgg.gov.in/,,SCS+F420:F421TBC and Disabled Welfare,Scholarship,State,Telangana,
Telangana Post Matric Scholarship (PMS) for SC/ST/BC/Disabled Category 2023-24,be a domicile of Telangana state belong to SC/ST/BC/EBC/Disabled Welfare category have passed Class 10 and pursuing studies at the post-matric level have passed Class 10 examination with a minimum of 75% attendance at the end of each quarter have annual family income lower than: INR 200000 for SC/ST category INR 150000 for BC/EBC/Disabled Welfare category of rural areas INR 200000 for BC/EBC/Disabled Welfare category of urban areas,10+2/Intermediate,https://telanganaepass.cgg.gov.in/,,SC ST BC Specially-abled student,Scholarship,State,Telangana,
Mahatma Jyothiba Phule BC Overseas Vidya Nidhi Telangana,Applicable to graduate students belonging to Backward Classes who are willing to pursue a postgraduate course from a foreign university.They must have obtained 60% or more marks in the foundation degree in streams like engineering management pure sciences humanities social sciences agriculture sciences medicine & nursing.The age of the student should not be more than 30 years as of 1st July of the year of application.The family’s annual income should be less than INR 1.5 Lakh (in rural areas) and INR 2 Lakh (in urban areas).The student must be the single child of the family.,PG,https://telanganaepass.cgg.gov.in/,,BC  EBC,Scholarship,State,Telangana,December to January
Telangana National Talent Search Examination,The examination is open for students of Class 10 who are studying at a recognised school in Telangana. The students who have already been selected for the National Means cum Merit Scholarship (NMMS) and are studying in Class 10 can also apply only if they forego further NMMS scholarships.,10/High_School,https://www.bsetelangana.co.in/,,Open for all,Scholarship,State,Telangana,August to September
Telangana National Means-cum-Merit Scholarship Scheme (NMMSS),Students must have scored at least 55 percent of marks while SC ST students must have a minimum of 50 percent marks or equivalent grade in class 7 examination during the year 2022-23.,Junior 10/High_School,https://www.bsetelangana.co.in/,,ST SC,Scholarship,State,Telangana,August to October
Chief Minister’s Overseas Scholarship Scheme for Minorities,The applicant should be a resident of Telangana. The applicant should belong to the minority community. The qualifying upper age limit for applicants for the scheme should not exceed 35 years as of 1st July of the year. Only one child from a family is eligible.,PG Ph.D/Doctorate,https://telanganaepass.cgg.gov.in/,,Minority,Scholarship,State,Telangana,June to July
Vidyadhan Scholarship Program,The scholarship is open for students who have passed Class 10/SSLC from Andhra Pradesh Karnataka Gujarat Telangana Tamil Nadu Kerala and Maharashtra. The annual income of the family should be less than INR 2 Lakh from all sources.,10+2/Intermediate,https://www.vidyadhan.org/apply,,General,Scholarship,State,Telangana,May to June
Post-Matric ST Scholarship Schemes,students studying in class 10+1 to postgraduation level at a recognised Indian institution. The annual family income should not exceed ? 2 lakh from all sources.,10+2/Intermediate UG PG,https://highereducation.tripura.gov.in/scholarship-scheme,,ST,Scholarship,State,Tripura,30th November 2023
Post-Matric Scholarship for SC Students,Students studying in class 11 to postgraduation level.The students applying for this scholarship must have passed class 10/higher secondary/matriculation examination.The annual income of the family should be less than ? 2.5 lakh from all sources.,10+2/Intermediate UG PG,https://highereducation.tripura.gov.in/scholarship-scheme,,SC,Scholarship,State,Tripura,
Pre-Matric ST Scholarship Schemes,students of classes 9 and 10 are eligible to apply for this scholarship. They must be studying full-time in a government or government-recognised school. The annual family income should not exceed ? 2 lakh.,Junior 10/High_School,https://highereducation.tripura.gov.in/scholarship-scheme,,ST,Scholarship,State,Tripura,30th November 2023
Dr. B.R. Ambedkar Post Matric Scholarship for Economically Backward Classes (EBC),students pursuing studies at the post-matriculation level (class 11 to postdoctoral level) can apply for this scholarship. The annual income of their family should not exceed ? 1 lakh from all sources.,10+2/Intermediate PG UG Ph.D/Doctorate,https://highereducation.tripura.gov.in/scholarship-scheme,,EBC,Scholarship,State,Tripura,
Post Matric Scholarship for OBC Students,The applicants must be pursuing studies at post matriculation level to apply for this scholarship. The annual income of the parents/guardian should not exceed ? 1.5 lakh.,10+2/Intermediate,https://highereducation.tripura.gov.in/scholarship-scheme,,OBC,Scholarship,State,Tripura,31st December 2023
NEC Merit Scholarship Tripura,This scholarship is available for students pursuing technical/ professional/ management/ MPhil/ PhD courses. The minimum percentage of marks to be secured by the students in the last qualifying examination is 70% (for general category students) and 60% (for SC and ST students). The annual income of the family should be less than ? 4.5 lakh from all sources.,PG Ph.D/Doctorate Others,https://highereducation.tripura.gov.in/scholarship-scheme,,Open for all,Scholarship,State,Tripura,
Pre-Matric SC (Class 9 & 10) Scholarship Tripura,The students must be studying in classes 9 and 10. They must be studying full-time in a government or government-recognised school. The annual family income should not exceed ? 2 lakh,Junior 10/High_School,https://highereducation.tripura.gov.in/scholarship-scheme,,SC,Scholarship,State,Tripura,
Centrally Sponsored Scheme Of Pre Matric Scholarship For OBC Students – Tripura,Students should belong to OBCcommunity.Parents/Guardians income fromall sources should not exceed toRs.44500/- per Annum Nomarks bar under this scheme.,Junior 10/High_School,https://highereducation.tripura.gov.in/scholarship-scheme,,OBC,Scholarship,State,Tripura,31st December 2023
Pre-Matric SC Cleaning and Health Hazard Scholarship Tripura,The scholarship is open to children of persons who are manual scavengers. The students must be enrolled in classes 1 to 10.,Primary Junior 10/High_School,https://highereducation.tripura.gov.in/scholarship-scheme,,SC,Scholarship,State,Tripura,
Pre-matric Scholarship For ST/SC/General Category Uttar Pradesh,The scholarship applies to students of Class 9 and 10 who belong to the SC/ST/General category. The annual income of the family should not exceed ?100000.,Junior 10/High_School,http://scholarship.up.gov.in/,,SC ST General,Scholarship,State,Uttar Pradesh,18th September 2023 to 8th December 2023
Post matric Intermediate Scholarship For ST/SC/General Category Uttar Pradesh,The scholarship applies to students of the SC/ST/General category who are studying in Class 10+1 and 10+2.The annual income of the family should not exceed ?200000 (for General candidates) and ?250000 (for SC/ST candidates) from all sources.,10+2/Intermediate,http://scholarship.up.gov.in/,,SC ST General,Scholarship,State,Uttar Pradesh,22nd September 2023 to 02nd January 2024
Post matric (Other than Intermediate) Scholarship for ST SC General Category Uttar Pradesh,The scholarship is applicable for students of SC/ST/General category who are studying at graduation postgraduation PhD or higher level. The annual income of the family should not exceed ?200000 (for General candidates) and ?250000 (for SC/ST candidates) from all sources.,UG PG Ph.D/Doctorate Researcher,http://scholarship.up.gov.in/,,SC ST General,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Post matric Other State Scholarship for ST SC General Category Uttar Pradesh,The scholarship is applicable for students of SC/ST/General category who are studying in class 10+1 or above.The annual income of the family should not exceed ?200000 (for General candidates) and ?250000 (for SC/ST candidates) from all sources.,10+2/Intermediate,http://scholarship.up.gov.in/,,SC ST General,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Pre-Matric Scholarship for Minorities Uttar Pradesh,The scholarship is applicable for minority community students who are studying in class 9th or 10th.The annual income of the family should not exceed ?100000 from all sources.,Junior 10/High_School,http://scholarship.up.gov.in/,,Minority,Scholarship,State,Uttar Pradesh,18th September 2023 to 02nd January 2024
Post matric (Other Than Intermediate) Scholarship for Minorities Uttar Pradesh,The scholarship is applicable for minority community students who are studying at graduation postgraduation PhD or higher level. The annual income of the family should not exceed ?200000 from all sources.,UG PG Ph.D/Doctorate Researcher,http://scholarship.up.gov.in/,,Minority,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Post matric Intermediate Scholarship for Minorities Uttar Pradesh,The minority community students studying in Class 10+1 and 10+2 can apply for the scholarship.The annual income of the family should not exceed ?200000 from all sources.,10+2/Intermediate,http://scholarship.up.gov.in/,,Minority,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Pre-Matric Scholarship for OBC Students Uttar Pradesh,The OBC category students studying in Class 9 and 10 can apply for this scholarship. The annual income of the family should not exceed ?200000 from all sources.,Junior 10/High_School,http://scholarship.up.gov.in/,,OBC,Scholarship,State,Uttar Pradesh,18th September 2023 to 02 January 2024
Post matric Intermediate Scholarship for OBC Students Uttar Pradesh,The OBC category students studying in Class 10+1 and 10+2 can apply for this scholarship. The annual income of the family should not exceed ?200000 from all sources.,10+2/Intermediate,http://scholarship.up.gov.in/,,OBC,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Post matric (Other Than Intermediate) Scholarship for OBC Uttar Pradesh,The students of the OBC category studying at graduation postgraduation PhD or higher level can apply for the scholarship. The annual income of the family should not be more than ?200000 from all sources.,UG PG Ph.D/Doctorate Researcher,http://scholarship.up.gov.in/,,OBC,Scholarship,State,Uttar Pradesh,22nd September 2023 to 31st December 2023
Post-Matric Scholarship for OBC Students Uttarakhand,The students pursuing studies in class 10+1 or above can apply for this scholarship. They must have passed the last qualifying examination. The annual income of the family should be less than ? 1 lakh.,10+2/Intermediate UG,https://scholarships.gov.in/,,OBC,Scholarship,State,Uttarakhand,
Post-Matric Scholarship for SC Students Uttarakhand,The students who are pursuing their studies from Class 10+1 onwards are eligible for the scholarship.They must have passed their last qualifying examination.The annual income of the family should be less than ? 2.5 Lakh.,10+2/Intermediate UG,https://scholarships.gov.in/,,SC,Scholarship,State,Uttarakhand,
Post-Matric Scholarship for ST Students Uttarakhand,The scholarship is applicable to students studying in class 10+1 to the postdoctoral level who have passed the last qualifying examination.The annual income of the family should be less than ? 2.50 lakh.Candidates who are already in receipt of any other scholarship are not eligible to apply.,10+2/Intermediate UG PG Ph.D/Doctorate,https://scholarships.gov.in/,,ST,Scholarship,State,Uttarakhand,
Pre-Matric Scholarship for SC Students (State Sector) Uttarakhand,The scholarship is open for students of classes 1 to 10. It is mandatory to have passed the last qualifying examination. The annual income of the family for students of classes 9 and 10 should not exceed ? 2 lakh. There is no income limit for students of classes 1 to 8.,Primary Junior 10/High_School,https://scholarships.gov.in/,,ST,Scholarship,State,Uttarakhand,
Pre-Matric Scholarship for OBC Students (State and Central) Uttarakhand 2021-22,The scholarship is open for students of classes 1 to 10 who are studying at a recognized school within the state. They must have passed the last qualifying examination. The annual income of the family should not be more than ? 44500.,Primary Junior 10/High_School,https://scholarships.gov.in/,,OBC,Scholarship,State,Uttarakhand,
Pre-Matric Disability Scholarship (State Sector) Uttarakhand,Students with a disability who are studying in classes 1 to 10 at a recognized school within or outside the state can apply for this scholarship. They must have passed the last qualifying examination. The annual income of the family should not exceed ? 24000.,Primary Junior 10/High_School,https://scholarships.gov.in/,,Specially-abled student,Scholarship,State,Uttarakhand,
Pre-Matric Scholarship for ST Students (State Sector) Uttarakhand,The students of Classes 1 to 10 are eligible for this scholarship. They must be studying in a recognised school within the state and have passed the last qualifying examination. The annual income of the family should not exceed ? 2 lakh from all sources (for students of Classes 9 and 10). For students of classes 1 to 8 no income criteria are applicable.,Primary Junior 10/High_School,https://scholarships.gov.in/,,ST,Scholarship,State,Uttarakhand,
Post Matric Scholarship for EBC Students Uttarakhand,The students pursuing studies at the post-matric level (class 10+1 to postdoctoral level) at an institution recognised by the government.The annual income of the family should be less than ? 1 lakh from all sources.The students pursuing their studies through distance learning or correspondence can also apply.,10+2/Intermediate UG PG Ph.D/Doctorate,https://scholarships.gov.in/,,EBC,Scholarship,State,Uttarakhand,
Pre-Matric Scholarship Scheme for Minority (100 percent State Sector) Uttarakhand,The students belonging to any of the following minority groups can apply – Christian Muslim Jain Parsi Sikh Buddhist They must be studying in classes 1 to 10 at a recognized institution within the state. They must have passed the last qualifying examination. The annual income of the family should be less than twice of current income slab below the poverty line.,Primary Junior 10/High_School,https://scholarships.gov.in/,,Minority,Scholarship,State,Uttarakhand,30th November 2023
Swami Vivekananda Merit Cum Means Scholarship for Minorities West Bengal,One must be a domicile of West Bengal. If studying at the higher secondary level or diploma one must have scored at least 75% marks in Class 10. If studying at the undergraduate level one must have scored at least 75% marks in Class 10+2. If studying at the PG level one must have scored at least 53% marks in graduation (for general education) or 55% marks (in case of engineering) The annual family income of the family should not exceed INR 2.5 Lakh.,10+2/Intermediate,https://svmcm.wbhed.gov.in/,,Minority,Scholarship,State,West Bengal,15th December 2023
West Bengal Post-Matric Scholarship for SC/ST/OBC,One should have a domicile of West Bengal and belong to SC/ST/OBC category. One must be studying in Class 10+1 10+2 Graduation or Postgraduation. The family income for SC/ST students should not exceed INR 2 Lakh to INR 2.5 Lakh per annum. The family income for OBC students should not exceed INR 1 Lakh per annum.,10+2/Intermediate UG PG,https://oasis.gov.in/,,SC ST OBC,Scholarship,State,West Bengal,15th December 2023
West Bengal Pre-Matric Scholarship for SC ST Students,Must be a domicile of West Bengal. One should belong to SC or ST category. One must be currently a student of Class 9 or 10. The annual income of the family should not exceed INR 2 Lakh per annum from all sources.,Junior 10/High_School,https://oasis.gov.in/,,SC ST,Scholarship,State,West Bengal,30th November 2023
Bigyani Kanya Medha Britti Scholarship (senior and junior),The candidate must be domicile of West Bengal belonging to the SC/ST/OBC category. Students studying at Class 10 and Class 10+2 graduation or postgraduation level are only eligible for this scholarship program. The annual family income should not exceed 2.5 lacs. (for SC and ST) The annual income for OBC families should not exceed 1 lakh.,10/High_School 10+2/Intermediate UG PG,https://jbnsts.ac.in/,,SC ST OBC,Scholarship,State,West Bengal,31st July 2023
West Bengal Talent Support Stipend Programme,The students must be residents of West Bengal and have secured less than 50% of marks. They must have qualified in the previous exam. This application is applicable to minorities students only (Sikh Christian Buddhist Muslim Jain Parsee),10+2/Intermediate UG PG Ph.D/Doctorate,https://www.getmyuni.com/scholarships/west-bengal-talent-support-stipend-scholarship,,Minority,Scholarship,State,West Bengal,15th December 2023
West Bengal Merit Cum Means Scholarship,The students must be a domicile of West Bengal The applicants must be studying a technical or professional course such as medical engineering management law CA etc. The family income should be less than INR 2.5 lakh per annum. The students must belong to the minority community of West Bengal. They must have scored at least 50% marks in Higher Secondary or Graduation examination.,Engineering Medical UG Others,https://www.wbmdfc.org/,,Open for all,Scholarship,State,West Bengal,15th December 2023
JBNSTS Scholarship Program (senior and junior),An applicant must be a permanent resident of India The candidate must have passed this Higher Secondary or equivalent examination. An applicant must be pursuing BSc in engineering for medical at the undergraduate level. The candidates must be pursuing undergraduate courses from any institution that is registered in West Bengal,Engineering Mediacl UG,https://www.wbmdfc.org/,,Open for all,Scholarship,State,West Bengal,31st July 2023
Merit Scholarship for SC/ST/OBC Students Delhi ,Applicant must be an Indian citizen and domicile of DelhiThe candidate must belong to the Scheduled Caste (SC) Scheduled Tribe (ST) and Other Backward Classes (OBC) categoryStudents must be studying at the post-matric level in a recognised college or professional/technical institutionStudents must have obtained a minimum of 60% marks in the previous academic yearThe annual family income should be less than ?300000 per annum (in the case of the SC/ST category income ceiling is not applicable),Others,https://edistrict.delhigovt.nic.in/,,SC ST OBC,Scholarship,State,Delhi,31st March 2024
Reimbursement of Tuition Fee for SC/ST/OBC Delhi ,Applicants must have a domicile in DelhiThe students should belong to the Scheduled Castes (SC)/Scheduled Tribes (ST) communityThe students must be enrolled in Class 1 to 10+2 in a school recognized/affiliated with the Department of Education Govt. of NCT of Delhi/Municipal local bodies of DelhiApplicants must have scored 50% or above in the previous class examination and have not less than 70% attendance in the preceding yearThe annual family income should not be not more than ?300000,Primary Junior 10/High_School 10+2/Intermediate,https://edistrict.delhigovt.nic.in/,,SC ST,Scholarship,State,Delhi,32nd March 2024
Pre-Matric Scholarship for OBC Students Delhi ,The applicants must be an Indian citizen and domicile of DelhiStudents must belong to the Other Backward Classes (OBC) categoryThe applicants must be studying in Classes 9 or 10 in Government recognised schools and have passed the previous classStudent must have obtained at least 75% attendance in the previous yearThe annual family income should be less than ?250000 per annum from all sources,Junior 10/High_School,https://edistrict.delhigovt.nic.in/,,OBC,Scholarship,State,Delhi,33rd March 2024
Post-Matric Scholarship for SC Students Delhi,Applicants must have a domicile in Delhi and belong to the Scheduled Tribes (ST) categoryStudents must be studying at post-matriculation/post-secondary (college/university) in the government-recognised institutionThe annual family income should not be more than ?250000Students must have secured an attendance of at least 75% in the previous year,10+2/Intermediate,https://edistrict.delhigovt.nic.in/,,ST,Scholarship,State,Delhi,34th March 2024
Post-Matric Scholarship for OBC Students Delhi,Applicants must be an Indian national and domiciled in DelhiStudents must belong to the Other Backward Class (OBC) categoryThe candidate must be studying at the post-matriculation/post-secondary level of studies in a government-recognised institution/college/university within IndiaThe annual parent(s)/guardian income should not be more than ?250000Applicants must have secured an attendance of at least 75% in the previous year,10+2/Intermediate,https://edistrict.delhigovt.nic.in/,,OBC,Scholarship,State,Delhi,35th March 2024
Dr. BR Ambedkar Scholarship for Toppers/Meritorious Award Delhi,Applicants must belong to the Scheduled Caste (SC)/Scheduled Tribe (ST)/Other Backward Class (OBC) communityStudents must have passed Class 10 and 12 from a recognised institution located in DelhiThe candidates must be studying in a professional/technical degree course in a state/central university of DelhiStudents must have achieved top marks in the final year exams of their respective studies,10/High_School 10+2/Intermediate,https://edistrict.delhigovt.nic.in/,,SC ST OBC,Scholarship,State,Delhi,36th March 2024
Kotak Kanya Scholarship ,Open for girl students across India.Applicants must have scored 85% or more marks or equivalent CGPA in Class 12 board examination.Applicant’s annual family income must be Rs. 600000 (Rupees Six Lakh) or less.Meritorious girl students who have secured admission to first-year graduation programs in the Academic Year – 2023 from institutes of repute (NIRF/NAAC accredited) for professional academic pursuits such as professional graduation courses like:EngineeringMBBSIntegrated LLB (5 years) orOther professional courses (Design Architecture etc)Children of employees of Kotak Mahindra Group Kotak Education Foundation & Buddy4Study are not eligible to apply for Kotak Kanya Scholarship 2023,UG,https://scholarshiponline.net/kotak-kanya-scholarship/,,Women,Scholarship,Private Organisation, ,July-September
Adobe Research Women-in-Technology Scholarship,Full-time undergraduate or master’s student in the current academic year must major in Computer Science Computer engineering or a related technical field have an excellent academic background must not have any close relative working in Adobe Research,UG PG,https://www.adobe.com/in/lead/creativecloud/women-in-technology.html,,Women,Scholarship,Private Organisation, ,Between September and November
Pragati Scholarship,Girl candidates who have taken admission in the 1st year of diploma/degree programme of an AICTE approved institution in the current academic year annual family income must not exceed INR 8 Lakh and not more than two girls from one family can apply for the scholarship,UG,https://www.aicte-india.org/schemes/students-development-schemes/Pragati/General-Instructions,,Women,Scholarship,Private Organisation, ,November/December
CBSE UDAAN,Meritorious girl students of Class 11 and 12 of Science stream with PCM must be studying in KVs/ NVs/ government schools of any recognised Board/ CBSE affiliated private schools in India must have scored overall 70% marks in class 10 and 80% in Science and Maths annual family income must not exceed INR 6 Lakh,10+2/Intermediate,https://www.buddy4study.com/scholarship/udaan-a-programme-to-give-wings-to-girl-students-2017,,Women,Scholarship,Private Organisation, ,August September
Clinic Plus Scholarship,Girl students of class 5 to 10,Junior 10/High_School,https://scholarshipdunia.com/clinic-plus-scholarship/,,Women,Scholarship,Private Organisation, ,May June
Internshala Scholarship,"Any girl between the age of 17 to 23 years with a career objective can apply. Academics, Sports, Arts etc. are eligible",Others,https://blog.internshala.com/internshala-career-scholarship-girls-2023/,,Women,Scholarship,Private Organisation, ,December January
Scholarship for Single Girl Child,Girl students with a score of at least 60% or 6.2 CGPA in Class 10 board examination must be pursuing Class 10+1 and 10+2 from CBSE affiliated schools the tuition fee must not be more than INR 1500 per month must be the only child of their parents,10+2/Intermediate,https://cbseit.in/cbse/2023/sgcx/default.aspx,,Women,Scholarship,Private Organisation, ,October/November
DST Women Scientist Fellowship (WOS-B),Female candidates with PG degree equivalent to M.Sc in Basic or Applied Sciences/B.Tech/MBBS M.Phil/M.Tech/M.Pharm/M.VSc. PhD in Basic or Applied Sciences or equivalent qualifications the minimum age to apply is 27 year & maximum is 57 years a relaxation of 5 years is given to reserve category candidates (SC/ST/OBC/PWD),PG,https://online-wosa.gov.in/,,Women,Fellowship,Private Organisation, ,September
DST Women Scientist Fellowship (WOS-A),Women scientists PG degree equivalent to M.Sc in Basic or Applied Sciences/B.Tech/MBBS M.Phil/M.Tech/M.Pharm/M.VSc. PhD in Basic or Applied Sciences or equivalent qualifications the minimum age to apply is 27 year & maximum is 57 years a relaxation of 5 years is given to reserve category candidates (SC/ST/OBC/PWD),PG,https://online-wosa.gov.in/,,Women,Fellowship,Private Organisation, ,Always Open
Abhilasha Scholarship,Girl students studying in class 9 to 12 must have scored at least 75% marks in the previous class annual family income must not exceed INR 3 Lakh,Junior 10/High_School 10+2/Intermediate,https://scholarshiparena.in/abhilasha-scholarship/,,Women,Scholarship,Private Organisation, ,August
